Time,T_1_1,T_1_2,T_1_3,T_1_4,T_1_5,T_2_1,T_2_2,T_2_3,T_2_4,T_2_5,T_3_1,T_3_2,T_3_3,T_3_4,T_3_5,T_4_1,T_4_2,T_4_3,T_4_4,T_4_5,T_5_1,T_5_2,T_5_3,T_5_4,T_5_5,T_top,T_bot,T_N,T_S,T_E,T_W
6/20/2024 2:01:11 PM,23.167802,22.259184,21.799498,21.174819,21.504537,22.870942,22.490008,22.241706,22.146490,22.056315,22.882195,22.215259,22.069428,21.755530,21.748854,-56504.991045,22.527865,22.614043,22.341666,22.270615,22.190814,22.887641,22.384199,22.139063,21.738428,21.479595,24.041621,23.362327,23.034826,22.961354,22.880292,23.262058
6/20/2024 2:01:41 PM,22.882175,22.059746,21.752057,21.230575,21.680917,22.833486,22.401948,22.203970,22.160730,22.082521,22.861506,22.231108,21.932046,21.877504,21.573842,-56507.882861,22.549430,22.588498,22.295181,22.173526,22.126833,22.596311,22.355423,22.078065,21.951751,21.565696,24.024629,23.327874,22.999431,22.893803,22.792056,23.241367
6/20/2024 2:02:11 PM,22.490559,21.978410,21.724313,21.262029,21.477910,22.673942,22.266174,22.102416,22.075041,21.995437,22.554453,22.283191,21.887512,21.648333,21.506933,-56506.483210,22.444738,22.466345,22.179853,22.110388,22.092905,22.565634,22.186752,21.995817,21.843473,21.554298,24.019476,23.301604,22.965565,22.878762,22.837881,23.215092
6/20/2024 2:02:41 PM,22.573330,21.995239,21.769237,21.474027,21.643300,22.771153,22.250800,22.096238,22.026531,21.951290,22.596310,22.165475,21.876268,21.940015,21.720892,-56507.815522,22.500363,22.540354,22.201472,22.160992,22.097506,22.192733,22.046434,21.626148,21.721470,21.837949,24.031848,23.276823,22.968321,22.891623,22.942374,23.204536
6/20/2024 2:03:11 PM,22.740853,22.191948,21.894012,21.680854,21.892631,22.637694,22.329694,22.277958,22.225296,22.113513,22.846055,22.240474,22.105232,22.024023,22.014359,-56508.900325,22.581094,22.558803,22.269837,22.247761,22.220394,22.441583,22.100099,21.800033,21.880131,21.775863,24.023434,23.232597,22.942437,22.894672,22.940829,23.177287
6/20/2024 2:03:41 PM,22.748187,22.400719,22.202740,21.955438,22.029527,22.796885,22.467153,22.372441,22.269662,22.345081,22.793899,22.555640,22.204810,22.146620,21.983510,-56510.614737,22.652864,22.623912,22.357059,22.308084,22.293598,22.638388,22.409706,22.124789,21.937280,21.886882,24.039776,23.226706,23.046293,22.934935,23.059838,23.180118
6/20/2024 2:04:11 PM,23.279325,22.821322,22.485171,22.355977,22.298955,23.052101,22.816729,22.695667,22.531828,22.449543,22.902624,22.489078,22.366323,22.323099,22.301945,-56510.486637,22.837028,22.760768,22.501117,22.440205,22.401125,22.923838,22.726769,22.566618,22.237874,22.209817,24.021144,23.225025,23.103380,22.971830,23.244532,23.199092
6/20/2024 2:04:41 PM,23.385226,23.038457,22.756677,22.557469,22.502311,23.437988,23.095849,22.928245,22.608256,22.712799,23.384768,22.945238,22.551264,22.503000,22.455650,-56514.000021,23.012412,22.915514,22.689953,22.600801,22.498762,23.116177,22.950877,22.775872,22.533467,22.410493,24.057055,23.211199,23.159329,22.991749,23.293122,23.211428
6/20/2024 2:05:11 PM,23.759999,23.132178,22.798316,22.751685,22.772589,23.645829,23.393547,23.164542,22.723658,22.665072,23.216869,23.108995,22.763630,22.647840,22.654044,-56516.075053,23.235750,23.065671,22.883359,22.745315,22.604703,23.500272,23.074624,22.850057,22.642847,22.431408,24.057051,23.202703,23.176309,23.032841,23.328911,23.225652
6/20/2024 2:05:41 PM,23.794242,23.320220,23.028736,22.851692,22.866161,23.715157,23.417723,23.081308,22.946767,22.830332,23.698421,23.140301,22.800013,22.704679,22.657579,-56519.678032,23.363603,23.198619,23.003272,22.885703,22.733417,23.619799,23.185537,23.051944,22.773618,22.653694,24.079090,23.208488,23.200226,23.038629,23.407191,23.238322
