Time,T_1_1,T_1_2,T_1_3,T_1_4,T_1_5,T_2_1,T_2_2,T_2_3,T_2_4,T_2_5,T_3_1,T_3_2,T_3_3,T_3_4,T_3_5,Place Holder,T_4_1,T_4_2,T_4_3,T_4_4,T_4_5,T_5_1,T_5_2,T_5_3,T_5_4,T_5_5,T_top,T_bot,T_N,T_S,T_E,T_W
7/1/2024 12:24:06 PM,23.083321,22.368851,22.060444,21.669874,21.767259,23.134739,22.411152,22.505166,22.339422,22.221917,23.067481,22.385174,22.108294,22.106684,22.063205,-56698.753436,22.741980,22.781261,22.431519,22.339329,22.215845,23.055910,22.227114,22.109351,22.130974,21.852333,25.446367,23.705841,23.640957,23.446251,23.247334,23.816330
7/1/2024 12:24:35 PM,23.284554,22.535686,22.489489,22.159541,21.923492,23.038277,22.551774,22.379609,22.331787,22.357768,23.110819,22.487880,22.072130,22.034630,21.837188,-56693.722679,22.700695,22.623954,22.386299,22.243740,22.252249,23.222388,22.158184,22.081354,22.153584,21.647054,25.452374,23.686651,23.642400,23.431867,23.239829,23.790268
7/1/2024 12:25:05 PM,23.005106,22.490988,22.478346,21.870680,21.680307,23.077654,22.447315,22.233488,22.180821,22.136199,22.912799,22.434212,22.072709,22.018184,21.908654,-56688.186720,22.643499,22.642120,22.301472,22.185108,22.185568,23.036247,22.140257,22.082518,22.070326,21.797634,25.409672,23.669240,23.633013,23.420411,23.210468,23.784780
7/1/2024 12:25:35 PM,22.924005,22.448877,22.336918,21.990297,21.789153,22.968782,22.491401,22.279204,22.174104,22.143053,22.648131,22.198254,22.093827,22.053338,21.948188,-56686.995523,22.599035,22.627529,22.284341,22.156242,22.104717,22.945209,22.328029,21.926635,22.016835,21.847696,25.374377,23.642758,23.572132,23.387492,23.157566,23.756470
7/1/2024 12:26:05 PM,22.974042,22.300568,22.042964,21.918712,21.660899,23.029376,22.525166,22.268375,22.232731,22.342415,22.371614,22.039973,21.839311,21.888104,21.854502,-56684.235131,22.644405,22.635903,22.331580,22.200505,22.150364,22.983428,22.275015,21.937553,21.900043,21.712214,25.346379,23.597229,23.571775,23.420628,23.123697,23.752675
7/1/2024 12:26:35 PM,23.029708,22.401375,21.970131,21.782790,21.643963,22.950725,22.565718,22.346197,22.230994,22.175107,22.821199,22.262270,22.026733,22.013388,21.858288,-56681.452205,22.686932,22.627422,22.320105,22.200755,22.201445,22.789620,22.048938,21.957594,21.922386,21.784981,25.318983,23.580510,23.538772,23.327505,23.141392,23.735503
7/1/2024 12:27:05 PM,23.228571,22.233148,21.909464,21.870340,21.891053,22.951727,22.374331,22.289258,22.187151,22.208540,22.769830,22.185081,22.004269,21.880467,21.761466,-56676.057221,22.602191,22.517849,22.266573,22.128119,22.097984,22.692721,21.981110,21.884459,21.832904,21.671528,25.304633,23.552578,23.500058,23.262844,23.052142,23.718126
7/1/2024 12:27:35 PM,22.964819,22.433416,21.998750,22.073983,21.856534,22.824732,22.370196,22.211303,22.125511,22.085255,22.745024,22.204404,21.985635,21.870804,21.717959,-56672.219915,22.539020,22.497420,22.263381,22.113424,22.025773,23.073748,22.042108,21.914864,21.946621,21.529931,25.345557,23.526919,23.449165,23.242447,23.011073,23.707607
7/1/2024 12:28:05 PM,22.541297,22.380853,21.927729,21.840044,21.677289,22.750160,22.281295,22.238753,22.086717,22.135944,22.740971,22.187006,21.956034,21.791707,21.685578,-56669.137648,22.596544,22.478874,22.210788,22.110964,22.050002,22.738766,22.191929,22.060584,21.915856,21.673928,25.305416,23.512082,23.455888,23.273956,22.984740,23.700341
7/1/2024 12:28:35 PM,23.081758,22.242199,21.818175,21.472553,21.558464,22.775196,22.335097,22.096606,22.119379,22.145602,22.729711,22.068310,21.706756,21.826001,21.816334,-56662.495044,22.607433,22.569286,22.245373,22.133826,22.020181,22.736558,22.343789,21.927221,21.810534,21.573849,25.282655,23.514693,23.432808,23.285518,22.981384,23.686445
