Time,T_1_1,T_1_2,T_1_3,T_1_4,T_1_5,T_2_1,T_2_2,T_2_3,T_2_4,T_2_5,T_3_1,T_3_2,T_3_3,T_3_4,T_3_5,Place Holder,T_4_1,T_4_2,T_4_3,T_4_4,T_4_5,T_5_1,T_5_2,T_5_3,T_5_4,T_5_5,T_top,T_bot,T_N,T_S,T_E,T_W
7/9/2024 2:12:53 PM,22.752665,22.215733,21.922185,21.642960,21.766134,22.760016,22.413017,22.319904,22.245860,22.207684,22.624924,22.241031,22.133163,22.161224,22.080024,-56568.637589,22.535004,22.502138,22.415939,22.337772,22.257752,22.274999,22.173579,22.094681,22.041769,21.768140,24.166933,22.956776,23.026117,22.715383,23.366701,22.941621
7/9/2024 2:13:23 PM,22.723322,22.442503,22.217866,21.791518,21.740873,22.493072,22.233964,22.176927,22.037986,21.953543,22.501117,22.181527,21.986908,22.006696,21.942268,-56569.043966,22.494961,22.446231,22.301391,22.261380,22.219986,22.379565,22.092790,22.064033,22.032285,21.699023,24.193907,22.945473,22.913784,22.731413,23.241828,22.926414
7/9/2024 2:13:53 PM,22.681681,22.348189,22.006868,21.895955,21.777188,22.570237,22.220798,22.137078,22.040690,21.945892,22.610912,22.080950,21.706973,21.775807,21.691087,-56567.950861,22.428002,22.379495,22.213246,22.187947,22.124694,22.344778,22.000694,21.701716,21.635864,21.487089,24.190402,22.890060,22.856530,22.743519,23.226841,22.913714
7/9/2024 2:14:23 PM,22.526067,22.053529,21.819498,21.689431,21.566006,22.590645,22.358261,22.182805,22.046397,21.965407,22.721153,22.023850,21.685286,21.736167,21.560709,-56566.909602,22.358526,22.293916,22.108085,22.018593,21.985000,22.019283,21.837026,21.689005,21.657692,21.500401,24.129431,22.868655,22.841094,22.662831,23.177681,22.907237
7/9/2024 2:14:53 PM,22.570113,22.089797,21.812282,21.658958,21.529767,22.539547,22.170535,21.941625,21.828855,21.861308,22.299550,21.849110,21.789034,21.686818,21.614286,-56568.169865,22.220327,22.172029,21.993053,21.879604,21.800657,21.970043,21.763826,21.631211,21.594366,21.351121,24.082472,22.826394,22.781144,22.639854,23.094818,22.889094
7/9/2024 2:15:23 PM,22.634283,22.195203,21.762619,21.720029,21.484911,22.370424,21.984483,21.772748,21.709439,21.758705,22.399161,21.770215,21.661549,21.685494,21.579571,-56565.578352,22.093748,22.139524,21.934992,21.856055,21.731523,21.911519,21.744645,21.633669,21.577481,21.362798,24.061552,22.788650,22.736965,22.617721,23.058015,22.880522
7/9/2024 2:15:53 PM,22.430018,22.036994,21.641569,21.371853,21.443270,22.387259,22.017668,21.810321,21.726988,21.736888,22.170875,21.830807,21.505464,21.528496,21.459856,-56565.491314,22.070948,22.073019,21.858792,21.741167,21.643777,21.761426,21.609236,21.578838,21.533468,21.196856,24.056259,22.758075,22.705237,22.595407,23.049496,22.864651
7/9/2024 2:16:23 PM,22.600250,22.050952,21.554445,21.369934,21.438356,22.305332,21.829349,21.705731,21.532335,21.490415,22.022193,21.667051,21.628597,21.571948,21.415780,-56563.559034,21.969423,21.976326,21.806022,21.672037,21.593055,21.941119,21.622991,21.422612,21.315016,21.197486,24.058718,22.701040,22.728379,22.531917,22.945425,22.841853
7/9/2024 2:16:53 PM,22.331985,21.820353,21.493160,21.215984,21.095663,22.298644,21.711007,21.573540,21.506519,21.523333,22.046791,21.583443,21.393184,21.440640,21.290651,-56560.165208,22.028563,21.965519,21.767127,21.622768,21.521668,21.829968,21.577172,21.495180,21.323319,21.088002,24.072241,22.656015,22.650501,22.587769,22.912136,22.824404
7/9/2024 2:17:23 PM,22.376048,21.523713,21.420749,21.168655,21.126012,22.256483,21.948003,21.731187,21.479259,21.528780,22.145628,21.623662,21.394025,21.411764,21.405083,-56560.000753,22.004196,21.902717,21.681736,21.603447,21.548406,22.107723,21.406515,21.282555,21.237156,20.989345,24.036296,22.611690,22.595374,22.581127,22.877021,22.795025
7/9/2024 2:17:53 PM,22.172747,21.781349,21.391699,21.371424,21.265892,22.152047,21.671073,21.562383,21.487299,21.430402,22.087868,21.530140,21.423491,21.394694,21.119996,-56558.767905,21.939506,21.820290,21.623679,21.523731,21.450944,21.693907,21.425143,21.254639,21.226984,20.960258,24.052072,22.577418,22.570754,22.485257,22.811302,22.793386
7/9/2024 2:18:23 PM,22.410653,21.959169,21.391842,21.360509,21.088096,22.054194,21.546636,21.452660,21.404513,21.310740,21.812568,21.487673,21.350141,21.323182,21.245986,-56555.802020,21.924172,21.840399,21.638040,21.526809,21.414861,21.723231,21.458630,21.339522,21.121733,20.986630,24.044596,22.523265,22.558888,22.461666,22.778769,22.773486
7/9/2024 2:18:53 PM,22.012112,21.833995,21.492301,21.174560,20.959692,22.052144,21.664791,21.451069,21.350392,21.320899,21.822026,21.364216,21.329655,21.196225,21.219503,-56551.926045,21.885196,21.787835,21.533405,21.421688,21.331605,22.045349,21.645325,21.292663,21.159914,20.948268,24.051843,22.495141,22.522492,22.472156,22.732282,22.759849
7/9/2024 2:19:23 PM,22.238808,21.647873,21.371019,21.073945,20.896625,22.111157,21.671128,21.523286,21.456488,21.413640,21.811559,21.321020,21.125122,21.129271,20.968114,-56550.183592,21.866975,21.797003,21.564457,21.496974,21.329491,22.063024,21.476013,21.283406,21.172552,20.908102,23.987884,22.461083,22.485448,22.490965,22.725351,22.735689
7/9/2024 2:19:52 PM,22.148354,21.585170,21.087248,20.796915,20.818137,22.107869,21.648035,21.463561,21.359431,21.249978,22.239201,21.512393,21.305514,21.181527,20.946831,-56547.811564,21.864774,21.763495,21.521720,21.486940,21.346643,21.736791,21.292954,21.176801,21.079063,20.885370,23.943991,22.444863,22.484629,22.406014,22.620222,22.741992
